t01_smooth_or_features_a01_smooth_count,t01_smooth_or_features_a01_smooth_weight,t01_smooth_or_features_a01_smooth_fraction,t01_smooth_or_features_a01_smooth_weighted_fraction,t01_smooth_or_features_a01_smooth_debiased,t01_smooth_or_features_a02_features_or_disk_count,t01_smooth_or_features_a02_features_or_disk_weight,t01_smooth_or_features_a02_features_or_disk_fraction,t01_smooth_or_features_a02_features_or_disk_weighted_fraction,t01_smooth_or_features_a02_features_or_disk_debiased,target
38,38,0.844,0.846,0.846,5,5,0.111,0.111,0.111,0
40,40,0.889,0.889,0.8369582,5,5,0.111,0.111,0.1288704,0
35,35,0.814,0.814,0.814,7,7,0.163,0.163,0.163,0
40,40,0.833,0.833,0.833,8,8,0.167,0.167,0.167,0
32,32,0.889,0.891,0.868323,2,2,0.056,0.056,0.10675375,0
44,44,0.917,0.936,0.936,2,2,0.042,0.043,0.043,0
34,34,0.872,0.938,0.81562144,3,2.073,0.077,0.057,0.14820254,0
38,38,0.927,0.927,0.8668245,3,3,0.073,0.073,0.12798607,0
32,32,0.914,0.914,0.914,2,2,0.057,0.057,0.057,0
35,35,0.875,0.875,0.8928197,4,4,0.1,0.1,0.14469925,0
36,36,0.8,0.828,0.8574351,8,7.492,0.178,0.172,0.24304716,0
35,35,0.897,0.92,0.84990895,1,1,0.026,0.026,0.0500731,0
47,47,0.922,0.922,0.8823206,3,3,0.059,0.059,0.05894106,0
34,34,0.829,0.885,0.885,3,2.371,0.073,0.062,0.062,0
38,38,0.864,0.864,0.82629097,5,5,0.114,0.114,0.13524736,0
35,35,0.921,0.921,0.8765411,2,2,0.053,0.053,0.11878809,0
31,31,0.861,0.861,0.8232865,5,5,0.139,0.139,0.15183505,0
39,39,0.951,0.951,0.86742085,2,2,0.049,0.049,0.095038705,0
25,25,0.781,0.805,0.83954436,6,6,0.188,0.193,0.27279148,0
37,37,0.841,0.841,0.841,3,3,0.068,0.068,0.068,0
36,36,0.9,0.9,0.824028,4,4,0.1,0.1,0.20255573,0
39,39,0.929,0.929,0.8262713,2,2,0.048,0.048,0.09743491,0
39,38.306,0.867,0.865,0.865,5,5,0.111,0.113,0.113,0
41,41,0.911,0.911,0.86296725,4,4,0.089,0.089,0.089,0
38,38,0.844,0.846,0.8632427,4,4,0.089,0.089,0.12921976,0
41,41,0.911,0.911,0.84834546,3,3,0.067,0.067,0.3617749,0
37,37,0.841,0.86,0.8302985,5,5,0.114,0.116,0.17737532,0
39,39,0.812,0.83,0.83,5,5,0.104,0.106,0.106,0
41,41,0.788,0.788,0.8077216,11,11,0.212,0.212,0.36622357,0
39,37.147,0.886,0.902,0.8256433,4,4,0.091,0.097,0.097,0
37,36.287,0.881,0.895,0.8390655,3,3,0.071,0.074,0.13562363,0
37,37,0.804,0.804,0.804,8,8,0.174,0.174,0.174,0
40,40,0.93,0.93,0.81359285,2,2,0.047,0.047,0.111847945,0
40,39.099,0.976,0.975,0.94812393,1,1,0.024,0.025,0.06228591,0
33,33,0.917,0.917,0.83812374,3,3,0.083,0.083,0.1899377,0
41,41,0.82,0.82,0.82,8,8,0.16,0.16,0.16,0
44,43.666,0.978,0.978,0.95104873,1,1,0.022,0.022,0.03679199,0
38,38,0.884,0.913,0.8171124,3,2.099,0.07,0.05,0.04928909,0
40,40,0.952,0.952,0.88240063,1,1,0.024,0.024,0.05904257,0
38,38,0.809,0.825,0.825,7,7,0.149,0.152,0.152,0
37,37,0.822,0.84,0.8196094,6,6,0.133,0.136,0.21901076,0
40,39.052,0.952,0.951,0.9475765,2,2,0.048,0.049,0.0965247,0
38,38,0.905,0.905,0.8766245,4,4,0.095,0.095,0.16856731,0
37,37,0.902,0.909,0.8628075,2,2,0.049,0.049,0.08317083,0
59,59,0.908,0.908,0.80069536,5,5,0.077,0.077,0.18476918,0
41,41,0.837,0.853,0.853,5,5,0.102,0.104,0.104,0
40,40,0.909,0.909,0.89189667,2,2,0.045,0.045,0.045045048,0
39,39,0.83,0.83,0.83,7,7,0.149,0.149,0.149,0
30,30,0.882,0.882,0.8896043,3,3,0.088,0.088,0.08808809,0
47,47,0.87,0.87,0.87,3,3,0.056,0.056,0.056,0
43,43,0.843,0.849,0.849,3,3,0.059,0.059,0.059,0
37,37,0.86,0.873,0.85353786,3,3,0.07,0.071,0.1097214,0
41,41,0.891,0.891,0.8138091,2,2,0.043,0.043,0.076997116,0
41,41,0.911,0.911,0.911,3,3,0.067,0.067,0.067,0
39,39,0.929,0.929,0.81518793,3,3,0.071,0.071,0.13477965,0
42,42,0.857,0.857,0.86331725,7,7,0.143,0.143,0.21442361,0
30,30,0.968,0.968,0.9402598,1,1,0.032,0.032,0.07026221,0
36,36,0.818,0.818,0.818,7,7,0.159,0.159,0.159,0
53,53,0.898,0.92,0.8172061,4,4,0.068,0.069,0.091624126,0
34,34,0.81,0.819,0.819,6,6,0.143,0.144,0.144,0
43,43,0.878,0.895,0.8490968,2,2,0.041,0.042,0.097191945,0
48,48,0.873,0.897,0.9113159,3,3,0.055,0.056,0.056056056,0
47,47,0.922,0.922,0.8454955,3,3,0.059,0.059,0.1066797,0
34,34,0.81,0.81,0.81,6,6,0.143,0.143,0.143,0
48,48,0.906,0.906,0.8088304,4,4,0.075,0.075,0.057667974,0
39,38.5,0.951,0.951,0.84576035,2,2,0.049,0.049,0.07749885,0
42,42,0.894,0.913,0.8823254,4,4,0.085,0.087,0.15142614,0
38,38,0.844,0.863,0.8290092,6,6,0.133,0.136,0.20803577,0
37,37,0.925,0.925,0.84455013,3,3,0.075,0.075,0.15530036,0
37,36.892,0.925,0.925,0.8551807,3,3,0.075,0.075,0.19100095,0
48,48,0.98,0.98,0.973367,1,1,0.02,0.02,0.03792151,0
37,36.026,0.925,0.923,0.87164634,2,2,0.05,0.051,0.051,0
36,36,0.857,0.857,0.857,3,3,0.071,0.071,0.071,0
36,35.428,0.857,0.855,0.8272422,3,3,0.071,0.072,0.11741572,0
37,37,1,1,1,0,0,0,0,0,0
39,39,0.929,0.929,0.86799145,3,3,0.071,0.071,0.1755703,0
38,38,0.905,0.905,0.80911976,3,3,0.071,0.071,0.11632269,0
37,37,0.86,0.86,0.8506238,5,5,0.116,0.116,0.31040224,0
36,36,0.837,0.843,0.83073884,4,3.686,0.093,0.086,0.15586524,0
29,29,0.879,0.91,0.91,2,2,0.061,0.063,0.063,0
43,43,0.878,0.878,0.87267584,6,6,0.122,0.122,0.16306864,0
37,37,0.881,0.883,0.80556035,3,3,0.071,0.072,0.07014233,0
38,38,0.864,0.881,0.8067277,4,4,0.091,0.093,0.22132412,0
38,38,0.809,0.809,0.809,9,9,0.191,0.191,0.191,0
40,40,0.87,0.87,0.87,2,2,0.043,0.043,0.043,0
39,38.012,0.848,0.863,0.8137707,2,2,0.043,0.045,0.05209676,0
37,37,0.86,0.863,0.83733654,4,4,0.093,0.093,0.10160928,0
37,37,0.902,0.902,0.902,3,3,0.073,0.073,0.073,0
37,37,0.925,0.932,0.932,0,0,0,0,0,0
38,38,0.974,0.974,0.8635269,1,1,0.026,0.026,0.043248612,0
41,41,0.911,0.911,0.8813301,4,4,0.089,0.089,0.089,0
32,32,0.889,0.889,0.85627115,2,2,0.056,0.056,0.13907969,0
37,36.508,0.881,0.9,0.8401958,2,2,0.048,0.049,0.0855984,0
40,40,0.93,0.93,0.8896974,3,3,0.07,0.07,0.07,0
43,43,0.811,0.811,0.810053,10,10,0.189,0.189,0.2382073,0
29,29,0.879,0.879,0.8075681,3,3,0.091,0.091,0.18328926,0
39,39,0.848,0.848,0.85275424,3,3,0.065,0.065,0.065,0
33,33,0.846,0.846,0.8250632,3,3,0.077,0.077,0.08397498,0
29,29,0.853,0.876,0.81286436,2,2,0.059,0.06,0.17969088,0
39,38.415,0.907,0.947,0.9100947,1,1,0.023,0.025,0.024777494,0
37,36.918,0.949,0.949,0.87993646,2,2,0.051,0.051,0.13063546,0
36,36,0.8,0.8,0.8,7,7,0.156,0.156,0.156,0
36,36,0.818,0.818,0.818,5,5,0.114,0.114,0.114,0
36,36,0.818,0.818,0.818,5,5,0.114,0.114,0.114,0
37,36.161,0.86,0.858,0.8467147,4,4,0.093,0.095,0.1731868,0
43,43,0.915,0.915,0.8912483,3,3,0.064,0.064,0.11157494,0
37,37,0.881,0.894,0.85938925,4,4,0.095,0.097,0.16598459,0
36,35.783,0.923,0.923,0.90156054,3,3,0.077,0.077,0.12208092,0
37,37,0.881,0.881,0.881,2,2,0.048,0.048,0.048,0
40,39.06,0.93,0.929,0.84021133,3,3,0.07,0.071,0.08309576,0
36,36,0.923,0.923,0.90067333,1,1,0.026,0.026,0.026,0
34,34,0.872,0.894,0.85396695,4,3.17,0.103,0.083,0.14627719,0
38,37.783,0.864,0.863,0.86784124,4,4,0.091,0.091,0.16952857,0
35,34.449,0.875,0.873,0.8160179,5,5,0.125,0.127,0.22698762,0
42,41.591,0.933,0.954,0.94891834,2,2,0.044,0.046,0.045954045,0
39,39,0.848,0.863,0.863,3,3,0.065,0.066,0.066,0
45,45,0.957,0.957,0.95211625,2,2,0.043,0.043,0.075680085,0
33,33,0.805,0.82,0.8227716,5,5,0.122,0.124,0.124,0
40,40,0.952,0.952,0.90021545,1,1,0.024,0.024,0.023523742,0
40,40,0.93,0.949,0.9363511,2,2,0.047,0.047,0.075918734,0
36,36,0.857,0.857,0.8220801,4,4,0.095,0.095,0.17472035,0
48,47.6,0.906,0.915,0.8522023,4,4,0.075,0.077,0.17119455,0
44,43.268,0.917,0.955,0.89635336,2,2,0.042,0.044,0.051742673,0
35,35,0.833,0.833,0.8512939,7,7,0.167,0.167,0.21426487,0
42,41.582,0.913,0.912,0.84356,4,4,0.087,0.088,0.18072022,0
39,39,0.867,0.886,0.85651743,4,4,0.089,0.091,0.091,0
35,35,0.875,0.875,0.80187535,5,5,0.125,0.125,0.4665007,0
37,36.223,0.925,0.938,0.93327403,1,1,0.025,0.026,0.026,0
37,37,0.902,0.918,0.918,3,2.291,0.073,0.057,0.057,0
28,27.212,0.824,0.819,0.819,4,4,0.118,0.12,0.12,0
37,37,0.86,0.879,0.8128452,2,2,0.047,0.048,0.083539456,0
37,37,0.881,0.881,0.82713526,3,3,0.071,0.071,0.22503369,0
45,45,0.918,0.918,0.918,2,2,0.041,0.041,0.041,0
38,37.064,0.884,0.902,0.864751,1,1,0.023,0.024,0.03695641,0
43,43,0.86,0.86,0.86,5,5,0.1,0.1,0.1,0
28,28,0.848,0.897,0.8681729,3,3,0.091,0.096,0.0960961,0
41,41,0.911,0.911,0.84375,4,4,0.089,0.089,0.15129752,0
36,36,0.837,0.867,0.867,2,2,0.047,0.048,0.048,0
38,38,0.905,0.905,0.905,4,4,0.095,0.095,0.095,0
43,43,0.896,0.896,0.80148727,5,5,0.104,0.104,0.23117334,0
34,33.958,0.81,0.809,0.809,6,6,0.143,0.143,0.143,0
41,41,0.932,0.932,0.83471453,1,1,0.023,0.023,0.06901441,0
38,37.073,0.884,0.881,0.881,4,4,0.093,0.095,0.095,0
42,41.666,0.84,0.839,0.839,7,7,0.14,0.141,0.141,0
38,37.707,0.905,0.904,0.804617,2,2,0.048,0.048,0.11447498,0
42,41.531,0.933,0.933,0.82821345,3,3,0.067,0.067,0.11202825,0
33,33,0.892,0.937,0.91585773,2,2,0.054,0.057,0.10117982,0
37,37,0.925,0.948,0.86796325,1,1,0.025,0.026,0.050810054,0
36,35.83,0.923,0.923,0.87466943,1,1,0.026,0.026,0.025974028,0
39,39,0.867,0.905,0.905,4,4,0.089,0.093,0.093,0
31,30.628,0.861,0.901,0.87508196,2,2,0.056,0.059,0.18319623,0
38,38,0.905,0.946,0.9149236,1,1,0.024,0.025,0.16535626,0
34,34,0.829,0.829,0.8456546,7,7,0.171,0.171,0.30701813,0
34,34,0.85,0.85,0.8009189,2,2,0.05,0.05,0.1016786,0
42,42,0.894,0.907,0.90044224,4,4,0.085,0.086,0.16246578,0
40,40,0.909,0.909,0.87352896,4,4,0.091,0.091,0.27273032,0
47,47,0.887,0.887,0.90511006,4,4,0.075,0.075,0.075,0
34,34,0.829,0.849,0.8070344,6,6,0.146,0.15,0.2539973,0
36,36,0.857,0.878,0.878,3,3,0.071,0.073,0.073,0
44,44,0.88,0.895,0.8403968,2,2,0.04,0.041,0.10363144,0
25,25,0.758,0.758,0.8014663,5,5,0.152,0.152,0.34225884,0
38,38,0.826,0.839,0.80618626,6,6,0.13,0.132,0.19940326,0
38,37.14,0.884,0.881,0.881,4,4,0.093,0.095,0.095,0
35,35,0.854,0.854,0.8412098,3,3,0.073,0.073,0.13355264,0
40,40,0.909,0.909,0.909,2,2,0.045,0.045,0.045,0
43,43,0.827,0.842,0.8240933,8,8,0.154,0.157,0.2944493,0
36,36,0.878,0.878,0.8954388,3,3,0.073,0.073,0.073,0
39,38.106,0.907,0.905,0.905,2,2,0.047,0.047,0.047,0
38,38,0.864,0.864,0.864,3,3,0.068,0.068,0.068,0
34,34,0.872,0.914,0.8261622,1,1,0.026,0.027,0.054016765,0
39,39,0.867,0.882,0.82112557,4,3.227,0.089,0.073,0.14889324,0
37,37,0.881,0.881,0.84722376,3,3,0.071,0.071,0.13283207,0
44,44,0.957,0.976,0.92134833,1,1,0.022,0.022,0.053153776,0
44,42.391,1,1,1,0,0,0,0,0,0
30,30,0.857,0.908,0.8541983,2,2,0.057,0.061,0.10328465,0
36,36,0.878,0.878,0.85225093,4,4,0.098,0.098,0.15152003,0
38,37.291,0.844,0.861,0.8220662,6,6,0.133,0.139,0.23769149,0
41,41,0.976,0.976,0.89972067,1,1,0.024,0.024,0.048261803,0
40,39.666,0.93,0.942,0.9070322,3,2.421,0.07,0.058,0.14348888,0
38,37.145,0.884,0.881,0.881,4,4,0.093,0.095,0.095,0
41,40.6,1,1,1,0,0,0,0,0,0
45,45,0.918,0.937,0.9143009,3,3,0.061,0.062,0.110055245,0
32,32,0.8,0.818,0.818,7,7,0.175,0.179,0.179,0
39,38.591,0.848,0.846,0.846,5,5,0.109,0.11,0.11,0
40,39.306,0.952,0.957,0.935839,1,1,0.024,0.024,0.090617694,0
33,33,0.846,0.846,0.846,5,5,0.128,0.128,0.128,0
37,37,0.949,0.949,0.8577176,2,2,0.051,0.051,0.051,0
35,35,0.814,0.829,0.8068933,6,6,0.14,0.142,0.2268597,0
34,34,0.85,0.854,0.8273314,2,2,0.05,0.05,0.12573822,0
43,43,0.956,0.956,0.93069124,1,1,0.022,0.022,0.054103296,0
35,35,0.921,0.921,0.860134,2,2,0.053,0.053,0.051575284,0
52,52,0.912,0.912,0.8621042,4,4,0.07,0.07,0.23376647,0
44,44,0.936,0.936,0.80385834,3,3,0.064,0.064,0.16520701,0
46,46,0.939,0.939,0.8384299,3,3,0.061,0.061,0.11692724,0
49,48.371,0.907,0.906,0.8380791,4,4,0.074,0.075,0.13009153,0
44,44,0.978,0.978,0.97030157,0,0,0,0,0,0
44,44,0.936,0.936,0.8221691,3,3,0.064,0.064,0.13119969,0
36,36,0.923,0.923,0.82752270000000006,2,2,0.051,0.051,0.09732787,0
33,32.243,0.846,0.843,0.82610184,5,5,0.128,0.131,0.131,0
35,35,0.833,0.833,0.833,5,5,0.119,0.119,0.119,0
32,31.707,0.821,0.84,0.8186855,3,3,0.077,0.079,0.08610084,0
39,38.371,0.929,0.944,0.8473132,2,2,0.048,0.049,0.102659374,0
46,45.892,0.885,0.884,0.85595345,4,4,0.077,0.077,0.13094087,0
42,42,0.875,0.875,0.85824835,6,6,0.125,0.125,0.125,0
37,37,0.925,0.925,0.94388590000000006,3,3,0.075,0.075,0.075,0
45,45,0.938,0.938,0.9398,1,1,0.021,0.021,0.060673922,0
42,42,0.933,0.976,0.9676972,0,0,0,0,0,0
39,39,0.907,0.907,0.8816767,4,4,0.093,0.093,0.14596698,0
41,40.647,0.976,0.976,0.94231874,1,1,0.024,0.024,0.023779914,0
39,38.321,0.867,0.865,0.865,3,3,0.067,0.068,0.068,0
44,43.618,0.917,0.916,0.8985586,3,3,0.062,0.063,0.09971188,0
37,37,0.902,0.948,0.8782355,1,1,0.024,0.026,0.04142856,0
40,40,0.93,0.933,0.8953409,1,1,0.023,0.023,0.039172128,0
40,40,0.909,0.93,0.8949085,3,3,0.068,0.07,0.08187756,0
38,38,0.884,0.884,0.9280192,4,4,0.093,0.093,0.093,0
41,41,0.891,0.891,0.891,4,4,0.087,0.087,0.087,0
37,36.035,0.949,0.947,0.8755831,2,2,0.051,0.053,0.13531312,0
40,40,0.952,0.952,0.88807696,1,1,0.024,0.024,0.03835092,0
35,35,0.854,0.862,0.83986366,4,3.945,0.098,0.097,0.15874387,0
33,32.145,0.892,0.911,0.84082377,3,2.158,0.081,0.061,0.12700483,0
39,38.676,0.886,0.886,0.81374425,5,5,0.114,0.114,0.2534064,0
38,38,0.905,0.905,0.8393811,2,2,0.048,0.048,0.04754444,0
35,35,0.921,0.921,0.8452836,3,3,0.079,0.079,0.18180585,0
35,35,0.854,0.854,0.854,2,2,0.049,0.049,0.049,0
36,36,0.947,0.947,0.91850704,1,1,0.026,0.026,0.04799056,0
42,41.08,0.955,0.954,0.9041559,1,1,0.023,0.023,0.022535512,0
38,38,0.826,0.842,0.842,7,7,0.152,0.155,0.155,0
36,36,0.857,0.857,0.83593225,6,6,0.143,0.143,0.31896916,0
37,37,0.902,0.902,0.84626824,4,4,0.098,0.098,0.2635079,0
36,36,0.857,0.899,0.90308046,4,4,0.095,0.1,0.15370905,0
39,39,0.929,0.93,0.9046936,3,2.931,0.071,0.07,0.12354057,0
39,39,0.886,0.908,0.908,3,3,0.068,0.07,0.07,0
39,39,0.886,0.886,0.886,5,5,0.114,0.114,0.114,0
41,41,0.911,0.911,0.91516787,4,4,0.089,0.089,0.13778889,0
32,32,0.889,0.914,0.8719916,3,3,0.083,0.086,0.100299634,0
39,38.728,0.907,0.906,0.80008984,1,1,0.023,0.023,0.036623072,0
39,38.128,0.951,0.95,0.8821224,2,2,0.049,0.05,0.12828507,0
38,38,0.864,0.883,0.80062854,5,5,0.114,0.116,0.19336542,0
50,50,0.877,0.893,0.8668092,4,4,0.07,0.071,0.12160499,0
36,36,0.857,0.87,0.8251094,3,3,0.071,0.073,0.073,0
33,33,0.917,0.917,0.8591306,2,2,0.056,0.056,0.13028523,0
32,32,0.97,0.97,0.9740567,1,1,0.03,0.03,0.092005625,0
38,38,0.905,0.905,0.8128888,1,1,0.024,0.024,0.06205764,0
40,40,0.909,0.93,0.9186664,3,3,0.068,0.07,0.17442153,0
54,54,0.885,0.915,0.9004061,1,1,0.016,0.017,0.017,0
41,41,0.854,0.854,0.854,3,3,0.062,0.062,0.062,0
40,40,0.8,0.822,0.822,4,4,0.08,0.082,0.082,0
43,43,0.86,0.86,0.85018975,6,6,0.12,0.12,0.2175213,0
37,37,0.925,0.925,0.8744888,2,2,0.05,0.05,0.2915343,0
33,32.239,0.971,0.97,0.97,0,0,0,0,0,0
47,47,0.94,0.94,0.91465276,3,3,0.06,0.06,0.10505457,0
34,34,0.895,0.917,0.86272705,3,3,0.079,0.081,0.2702898,0
33,33,0.868,0.89,0.89,3,3,0.079,0.081,0.081,0
45,45,0.849,0.865,0.83676803,4,4,0.075,0.077,0.12899858,0
34,34,0.919,0.944,0.8794468,3,2.024,0.081,0.056,0.10278973,0
52,52,0.945,0.953,0.8834643,2,2,0.036,0.037,0.042580143,0
44,43.316,0.936,0.935,0.9247371,2,2,0.043,0.043,0.056442153,0
36,36,0.837,0.837,0.837,7,7,0.163,0.163,0.163,0
31,30.123,0.838,0.901,0.86912835,3,3,0.081,0.09,0.10724306,0
43,43,0.896,0.909,0.84023035,3,3,0.062,0.063,0.102402374,0
51,51,0.911,0.925,0.8993197,3,3,0.054,0.054,0.10289114,0
32,32,0.914,0.914,0.88576704,1,1,0.029,0.029,0.08578358,0
37,37,0.881,0.881,0.8334243,4,4,0.095,0.095,0.15275681,0
40,40,0.889,0.889,0.87728965,1,1,0.022,0.022,0.037560504,0
36,36,0.947,0.947,0.947,0,0,0,0,0,0
30,30,0.75,0.769,0.827849,7,7,0.175,0.179,0.1998898,0
49,49,0.961,0.961,0.955343,0,0,0,0,0,0
34,34,0.872,0.883,0.883,3,3,0.077,0.078,0.078,0
37,37,0.902,0.902,0.8929304,4,4,0.098,0.098,0.2727161,0
39,39,0.867,0.867,0.8473945,4,4,0.089,0.089,0.13300668,0
37,37,0.881,0.896,0.87694764,2,2,0.048,0.048,0.14643663,0
39,39,0.886,0.925,0.9159214,3,3,0.068,0.071,0.12186325,0
37,37,0.925,0.925,0.8603988,3,3,0.075,0.075,0.41097113,0
35,35,0.921,0.921,0.8261932,2,2,0.053,0.053,0.0565158,0
44,43.121,0.936,0.935,0.84317577,2,2,0.043,0.043,0.056493383,0
33,33,0.868,0.887,0.8354405,4,4,0.105,0.108,0.12530616,0
34,34,0.895,0.914,0.83993906,3,3,0.079,0.081,0.20255543,0
38,38,0.826,0.826,0.826,7,7,0.152,0.152,0.152,0
42,42,0.913,0.925,0.8470872,3,3,0.065,0.066,0.1194668,0
37,36.383,0.881,0.879,0.879,4,4,0.095,0.097,0.097,0
46,45.029,0.902,0.928,0.83173037,1,1,0.02,0.021,0.04705374,0
35,35,0.875,0.875,0.875,3,3,0.075,0.075,0.075,0
26,26,0.897,0.923,0.89123476,2,2,0.069,0.071,0.22316734,0
44,44,0.978,0.978,0.9625887,0,0,0,0,0,0
37,37,0.86,0.88,0.88635176,1,1,0.023,0.024,0.024,0
32,32,0.865,0.865,0.865,1,1,0.027,0.027,0.027,0
36,36,0.9,0.9,0.80729365,4,4,0.1,0.1,0.28990906,0
27,27,0.871,0.871,0.8180265,4,4,0.129,0.129,0.35972473,0
39,38.192,0.907,0.916,0.916,3,3,0.07,0.072,0.072,0
39,37.725,0.848,0.857,0.857,4,4,0.087,0.091,0.091,0
38,38,0.884,0.905,0.8544603,1,1,0.023,0.024,0.023976024,0
36,36,0.837,0.837,0.837,1,1,0.023,0.023,0.023,0
38,38,0.905,0.905,0.91334456,3,3,0.071,0.071,0.09393433,0
42,42,0.778,0.795,0.8020403,6,6,0.111,0.114,0.11388611,0
42,42,0.913,0.913,0.8586733,3,3,0.065,0.065,0.11066826,0
38,37.772,0.884,0.883,0.81991196,3,3,0.07,0.07,0.34344319,0
43,43,0.935,0.935,0.84997493,3,3,0.065,0.065,0.1627472,0
39,38.027,0.848,0.845,0.845,5,5,0.109,0.111,0.111,0
32,32,0.865,0.882,0.83064145,3,3,0.081,0.083,0.18661904,0
40,40,0.93,0.945,0.864114,2,2,0.047,0.047,0.11152345,0
47,47,0.904,0.921,0.921,1,1,0.019,0.02,0.02,0
39,38.291,0.886,0.904,0.8535161,1,1,0.023,0.024,0.023976024,0
35,34.028,0.854,0.893,0.893,4,4,0.098,0.105,0.105,0
41,41,0.891,0.891,0.891,3,3,0.065,0.065,0.065,0
36,35.26,0.878,0.876,0.8436903,5,5,0.122,0.124,0.19090645,0
39,39,0.907,0.907,0.82027584,3,3,0.07,0.07,0.12527122,0
33,32.068,0.971,0.97,0.97,1,1,0.029,0.03,0.03,0
50,49.666,0.877,0.888,0.84566414,4,4,0.07,0.072,0.08338555,0
36,36,0.9,0.922,0.80493456,3,3,0.075,0.077,0.12773675,0
26,26,0.812,0.812,0.812,6,6,0.188,0.188,0.188,0
38,37.523,0.884,0.903,0.903,1,1,0.023,0.024,0.024,0
41,41,0.82,0.853,0.840617,4,4,0.08,0.083,0.15131986,0
39,38.056,0.907,0.905,0.905,4,4,0.093,0.095,0.095,0
39,39,0.736,0.757,0.8302775,9,9,0.17,0.175,0.17482516,0
38,38,0.95,0.95,0.84735036,2,2,0.05,0.05,0.05,0
34,34,0.85,0.887,0.85941356,4,4,0.1,0.104,0.16139059,0
39,38.354,0.907,0.906,0.8466488,3,3,0.07,0.071,0.12003284,0
33,33,0.846,0.868,0.80942094,3,3,0.077,0.079,0.24370399,0
29,29,0.829,0.851,0.8407601,3,3,0.086,0.088,0.17314897,0
43,43,0.935,0.935,0.84166944,2,2,0.043,0.043,0.088051006,0
39,39,0.929,0.935,0.8343832,2,2,0.048,0.048,0.06306238,0
39,39,0.886,0.886,0.886,5,5,0.114,0.114,0.114,0
36,35.958,0.878,0.907,0.83357006,3,3,0.073,0.076,0.22116253,0
41,41,0.932,0.95,0.9065411,1,1,0.023,0.023,0.02326359,0
32,32,0.889,0.904,0.904,3,3,0.083,0.085,0.085,0
38,38,0.864,0.864,0.84516597,4,4,0.091,0.091,0.13701034,0
40,40,0.952,0.952,0.9127637,2,2,0.048,0.048,0.08425285,0
46,46,0.902,0.902,0.8090498,4,4,0.078,0.078,0.09083853,0
41,41,0.932,0.951,0.9073972,2,1.123,0.045,0.026,0.04836573,0
41,40.158,0.891,0.909,0.82649606,3,3,0.065,0.068,0.079293855,0
42,42,0.84,0.865,0.865,5,5,0.1,0.103,0.103,0
37,37,0.86,0.86,0.81625515,5,5,0.116,0.116,0.31435838,0
42,42,0.933,0.953,0.91299546,2,2,0.044,0.045,0.08065286,0
41,40.014,0.911,0.952,0.9235833,1,1,0.022,0.024,0.05864941,0
28,28,0.848,0.848,0.8617185,4,4,0.121,0.121,0.42040232,0
33,33,0.825,0.846,0.846,5,5,0.125,0.128,0.128,0
38,38,0.905,0.905,0.87055737,2,2,0.048,0.048,0.05567143,0
40,40,0.889,0.909,0.909,4,4,0.089,0.091,0.091,0
40,39.879,0.952,0.952,0.91908514,1,1,0.024,0.024,0.052253447,0
37,36.223,0.86,0.877,0.80250454,4,4,0.093,0.097,0.20523399,0
40,39.6,0.976,0.982,0.9663101,0,0,0,0,0,0
38,37.231,0.884,0.882,0.86975735,5,5,0.116,0.118,0.19600587,0
43,43,0.86,0.86,0.86,5,5,0.1,0.1,0.1,0
43,43,0.935,0.954,0.9033822,2,2,0.043,0.044,0.0939782,0
44,44,0.898,0.91,0.91,4,4,0.082,0.083,0.083,0
48,48,0.923,0.923,0.84119165,4,4,0.077,0.077,0.15832065,0
43,43,0.935,0.935,0.9090188,2,2,0.043,0.043,0.10900898,0
34,34,0.944,0.944,0.9049132,2,2,0.056,0.056,0.20030093,0
31,31,0.912,0.934,0.934,1,1,0.029,0.03,0.03,0
39,39,0.907,0.924,0.83763534,2,1.205,0.047,0.029,0.055335954,0
28,28,0.848,0.848,0.90415597,5,5,0.152,0.152,0.27561897,0
50,50,0.943,0.943,0.84795684,3,3,0.057,0.057,0.109688275,0
31,31,0.886,0.901,0.8536582,4,3.421,0.114,0.099,0.115188785,0
34,33.477,0.708,0.705,0.86530125,14,14,0.292,0.295,0.295,0
40,40,0.909,0.924,0.8367257,2,2,0.045,0.046,0.061169956,0
44,44,0.863,0.863,0.863,6,6,0.118,0.118,0.118,0
37,37,0.949,0.949,0.949,2,2,0.051,0.051,0.051,0
33,33,0.892,0.892,0.82555103,4,4,0.108,0.108,0.108,0
39,39,0.907,0.935,0.8970436,2,2,0.047,0.048,0.09375182,0
41,41,0.911,0.911,0.82939154,3,3,0.067,0.067,0.07815632,0
34,33.035,0.895,0.892,0.8412175,3,3,0.079,0.081,0.081,0
41,41,0.976,0.976,0.9193288,1,1,0.024,0.024,0.066442795,0
48,48,0.941,0.941,0.8809563,3,3,0.059,0.059,0.059,0
46,46,0.807,0.819,0.80112284,10,10,0.175,0.178,0.28233814,0
33,33,0.892,0.892,0.8411133,4,4,0.108,0.108,0.12545557,0
36,36,0.818,0.833,0.833,7,7,0.159,0.162,0.162,0
38,38,0.864,0.864,0.864,5,5,0.114,0.114,0.114,0
39,39,0.848,0.848,0.8354542,1,1,0.022,0.022,0.042269483,0
43,43,0.878,0.887,0.89797145,3,3,0.061,0.062,0.09166044,0
39,39,0.929,0.929,0.8401617,3,3,0.071,0.071,0.070379995,0
